887961600,1651.01,2505.82,1919.04,0,735,0,864.595
887961900,1650,2412.39,1916.07,0,737,0,864.61
887962200,1651.14,2375.64,1919.95,0,744,0,864.63
887962500,1652.27,2460.13,1919.01,0,746,0,864.65
887962800,1651.57,2371.37,1919.36,0,735,0,864.67
887963100,1650.74,2353.44,1917.36,0,729,0,864.69
887963400,1651.43,2405.95,1917.91,0,739,0,864.705
887963700,1650.86,2337.14,1917.68,0,734,0,864.72
887964000,1651.04,2372.63,1917.95,0,734,0,864.74
887964300,1650.48,2415.95,1917.06,0,740,0,864.76
887964600,1650.69,2472.12,1916.62,0,741,0,864.78
887964900,1651.02,2472.11,1917.94,0,734,0,864.8
887965200,1650.25,2488.12,1916.37,0,722,0,864.825
887965500,1648.73,2452.59,1913.74,0,732,0,864.855
887965800,1650.72,2463.45,1915.78,0,726,0,864.89
887966100,1650.29,2455.32,1915.06,0,731,0,864.925
887966400,1650.65,2528.19,1915.05,0,722,0,864.96
887966700,1650.87,2491.2,1916.68,0,735,0,864.995
887967000,1651.67,2530.34,1916.25,0,742,0,865.025
887967300,1651.95,2488.02,1916.47,0,741,0,865.06
887967600,1652.61,2488.11,1914.77,0,741,0,865.095
887967900,1653.36,2533.17,1917.5,0,739,0,865.13
887968200,1653.02,2499.92,1917.85,0,747,0,865.165
887968500,1651.86,2426.3,1918.15,0,745,0,865.2
887968800,1651.84,2414.43,1916.29,0,743,0,865.235
887969100,1653.63,2420.45,1917.18,0,739,0,865.265
887969400,1654.04,2480.04,1918.22,0,739,0,865.3
887969700,1653.83,2493.43,1914.67,0,740,0,865.335
887970000,1654.03,2439.63,1917.18,0,739,0,865.37
887970300,1653.36,2489.74,1916.54,0,746,0,865.405
887970600,1655.48,2662.27,1916.63,0,748,0,865.435
887970900,1655.11,2415.19,1917.13,0,740,0,865.47
887971200,1654.84,2504.27,1916.25,0,742,0,865.505
887971500,1656.16,2623.68,1916.84,0,736,0,865.54
887971800,1656.27,2592.09,1916.04,0,734,0,865.575
887972100,1655.64,2460.56,1917.29,0,734,0,865.61
887972400,1656.88,2550.89,1919.52,0,740,0,865.64
887972700,1658.61,2518.16,1920.82,0,740,0,865.66
887973000,1658.13,2545.54,1918.61,0,735,0,865.68
887973300,1658.28,2612.81,1918.99,0,745,0,865.705
887973600,1659.84,2508.4,1918.45,0,732,0,865.73
887973900,1658.7,2599.07,1918.67,0,729,0,865.75
887974200,1661.56,2950.38,1916.78,0,737,0,865.77
887974500,1659.89,2717.37,1918.28,0,739,0,865.795
887974800,1660.54,2690.96,1918.13,0,734,0,865.82
887975100,1668.84,3138.84,1920.3,0,746,0,865.84
887975400,1669.66,3143.67,1922.39,0,741,0,865.86
887975700,1668.47,2890.9,1920.76,0,734,0,865.885
887976000,1677.96,3401.22,1920.8,0,724,0,865.87
887976300,1668.79,2969.22,1923.64,0,720,0,865.83
887976600,1670.55,2889.32,1970.01,0,539,0,865.85
887976900,1671.24,2911.71,1968.36,0,545,0,865.84
887977200,1670.33,2949.15,1967.4,0,540,0,865.815
887977500,1673.44,2941.64,1967.91,0,547,0,865.78
887977800,1668.28,3052.57,1950.68,0,628,0,865.725
887978100,1669.4,3102.82,1935.72,0,670,0,865.72
887978400,1665.96,3220.25,1934.73,0,674,0,865.68
887978700,1665.85,2964.62,1925.03,0,730,0,865.625
887979000,1665.15,2819.23,1927.66,0,712,0,865.595
887979300,1666.07,3014.82,1925.89,0,712,0,865.575
887979600,1667.74,2854.18,1928.83,0,706,0,865.555
887979900,1668.34,2873.01,1929.53,0,721,0,865.53
887980200,1668.48,2937.64,1930.21,0,720,0,865.51
887980500,1670.05,2878.96,1930.78,0,714,0,865.485
887980800,1671.74,2917.57,1927.63,0,712,0,865.46
887981100,1671.16,2883.04,1928.09,0,718,0,865.44
887981400,1671.48,2899.2,1930.39,0,716,0,865.415
