887932800,1648.74,0.157953,2730.24,757,866.23
887933100,1648.95,0.164482,2739.86,717,866.25
887933400,1647.56,0.155536,2582.6,700,866.27
887933700,1646.42,0.163395,2496.99,706,866.295
887934000,1647.02,0.159583,2687.17,693,866.32
887934300,1647.35,0.17253,2580.2,697,866.34
887934600,1646.5,0.151487,2553.74,701,866.36
887934900,1648.15,0.166024,2675.43,698,866.385
887935200,1646.69,0.179549,2363.23,695,866.41
887935500,1647.19,0.173315,2470.08,696,866.43
887935800,1648.25,0.162813,2446.67,706,866.45
887936100,1646.87,0.158487,2474.72,706,866.475
887936400,1647.14,0.149829,2319.36,709,866.48
887936700,1646.59,0.170779,2384.07,713,866.46
887937000,1646.92,0.159674,2365.69,718,866.445
887937300,1646.44,0.157985,2391.17,715,866.43
887937600,1652.29,0.19368,2738.3,713,866.41
887937900,1648.2,0.166655,2395.83,709,866.395
887938200,1653.96,0.193039,2579.37,722,866.38
887938500,1648.31,0.163315,2364.66,712,866.36
887938800,1653.15,0.200746,2624.35,713,866.34
887939100,1648.63,0.167595,2359.02,725,866.325
887939400,1648.61,0.148104,2314.96,724,866.31
887939700,1649.03,0.165231,2337.72,719,866.295
887940000,1649.01,0.148201,2367.31,725,866.295
887940300,1650.39,0.185312,2580.92,721,866.31
887940600,1650.75,0.167027,2280.14,721,866.33
887940900,1651.87,0.158009,2296.88,722,866.35
887941200,1650.51,0.163888,2384.28,718,866.365
887941500,1651.49,0.153728,2452.43,733,866.38
887941800,1650.93,0.156525,2465.91,735,866.4
887942100,1652.86,0.171752,2367.91,721,866.42
887942400,1653.83,0.159867,2447.91,725,866.435
887942700,1653.36,0.159495,2396.79,725,866.45
887943000,1653.4,0.164387,2417.96,726,866.47
887943300,1653.1,0.155551,2499.2,728,866.49
887943600,1653.69,0.174028,2490.44,728,866.49
887943900,1655.47,0.168565,2518.46,724,866.47
887944200,1655.58,0.175895,2410.43,734,866.455
887944500,1656.27,0.165502,2408.94,731,866.44
887944800,1655.81,0.174543,2510.56,733,866.425
887945100,1656.65,0.171872,2594.2,725,866.41
887945400,1656.6,0.17511,2672.3,730,866.39
887945700,1660.01,0.199931,3086.69,734,866.375
887946000,1655.48,0.176803,2696.41,732,866.36
887946300,1659.92,0.188779,2948.91,728,866.345
887946600,1656.99,0.173189,2651.7,728,866.33
887946900,1658.18,0.167076,2719.29,722,866.315
887947200,1657.12,0.159878,2702.99,736,866.31
887947500,1657.25,0.161382,2737.72,727,866.305
887947800,1658.16,0.189364,2864.74,737,866.3
887948100,1656.78,0.182982,2688.31,732,866.235
887948400,1658.23,0.17545,2698.86,729,866.17
887948700,1657.93,0.163316,2662.35,720,866.17
887949000,1658.58,0.167122,2712.28,734,866.1
887949300,1657.57,0.149709,2667.5,728,865.96
887949600,1658.68,0.169127,2611.86,730,865.925
