Date,ScalerCorr,error,pressure,activeSD
1119186300,1616.37,0,862.208,1100.67
1119186600,1617.76,0,862.21,1092.67
1119186900,1619.18,0,862.21,1090.33
1119187200,1620.46,0,862.198,1086
1119187500,1621.33,0,862.207,1087.67
1119187800,1622,0,862.235,1082.67
1119188100,1622.27,0,862.25,1085.67
1119188400,1622.58,0,862.255,1087
1119188700,1622.88,0,862.285,1094.67
1119189000,1623.52,0,862.32,1094
1119189300,1623.63,0,862.305,1092
1119189600,1623.97,0,862.25,1089
1119189900,1624.57,0,862.22,1089.67
1119190200,1625.74,0,862.242,1089
1119190500,1626.49,0,862.278,1084.67
1119190800,1626.8,0,862.28,1079
1119191100,1626.47,0,862.235,1079
1119191400,1627.02,0,862.173,1078.33
1119191700,1627.57,0,862.137,1081.33
1119192000,1628.46,0,862.13,1083
1119192300,1628.62,0,862.113,1090
1119192600,1628.66,0,862.065,1092.33
1119192900,1627.61,0,862.002,1092
1119193200,1627.08,0,861.955,1085.67
1119193500,1626.75,0,861.94,1084.67
1119193800,1627.48,0,861.925,1075.67
1119194100,1627.38,0,861.865,1077.33
1119194400,1627.45,0,861.78,1076.67
1119194700,1627.62,0,861.735,1080.67
1119195000,1628.47,0,861.74,1077.33
1119195300,1085.88,0,861.74,1075.67
1119195600,1085.87,0,861.695,1077
1119195900,1085.33,0,861.618,1078.67
1119196200,1627.87,0,861.53,1082.67
1119196500,1627.97,0,861.437,1081.67
1119196800,1627.66,0,861.339,1084
1119197100,1627.28,0,861.23,1078
1119197400,1626.11,0,861.102,1073.67
1119197700,1625.01,0,860.95,1069
1119198000,1624.25,0,860.79,1073.33
1119198300,1623.78,0,860.64,1080
1119198600,1623.74,0,860.525,1080.67
1119198900,1623.64,0,860.45,1082.33
1119199200,1623.74,0,860.405,1088
1119199500,1623.31,0,860.373,1097.33
1119199800,1623.11,0,860.335,1094.67
1119200100,1622.7,0,860.287,1093.33
1119200400,1622.66,0,860.207,1092.33
1119200700,1622.1,0,860.077,1096
1119201000,1621.69,0,859.93,1092.33
1119201300,1621.38,0,859.822,1090
1119201600,1620.58,0,859.763,1090
1119201900,1619.63,0,859.712,1091
1119202200,1618.76,0,859.65,1088
1119202500,1618.56,0,859.605,1087
1119202800,1618.19,0,859.558,1093.67
1119203100,1617.51,0,859.465,1098.67
1119203400,1616.54,0,859.354,1099
1119203700,1615.96,0,859.295,1101
1119204000,1615.62,0,859.308,1102
1119204300,1615.28,0,859.34,1107.67
1119204600,1614.65,0,859.34,1102.33
1119204900,1613.61,0,859.308,1101.67
1119205200,1612.64,0,859.265,1097.67
1119205500,1612.19,0,859.232,1094.33
1119205800,1611.98,0,859.2,1093.67
1119206100,1611.35,0,859.14,1092.67
1119206400,1610.06,0,859.05,1091.67
1119206700,1608.55,0,858.96,1094.67
1119207000,1607.93,0,858.91,1097
1119207300,1607.76,0,858.91,1105.33
1119207600,1607.95,0,858.93,1101.33
1119207900,1607.61,0,858.93,1099
1119208200,1606.79,0,858.9,1095
1119208500,1605.93,0,858.87,1098.67
1119208800,1605.54,0,858.867,1101
1119209100,1605.49,0,858.888,1098.33
1119209400,1605.14,0,858.91,1098
1119209700,1604.31,0,858.91,1097
1119210000,1603.57,0,858.888,1101.67
1119210300,1603.17,0,858.867,1102.33
1119210600,1602.8,0,858.843,1099.33
1119210900,1602.22,0,858.795,1097.67
1119211200,1601.27,0,858.747,1098.67
1119211500,1600.84,0,858.747,1104.67
1119211800,1600.6,0,858.815,1108.67
1119212100,1600.9,0,858.923,1111.33
1119212400,1600.7,0,859.012,1113
1119212700,1600.21,0,859.045,1110.33
1119213000,1599.17,0,859.048,1103.67
1119213300,1598.66,0,859.08,1102.67
1119213600,1598.22,0,859.152,1098
1119213900,1597.66,0,859.217,1101
1119214200,1596.93,0,859.255,1098.33
1119214500,1596.11,0,859.293,1100
1119214800,1595.4,0,859.332,1097.33
1119215100,1594.77,0,859.342,1093.67
1119215400,1594.11,0,859.33,1090.33
1119215700,1593.51,0,859.332,1087.33
1119216000,1592.84,0,859.367,1089.33
1119216300,1592.12,0,859.422,1093.33
1119216600,1591.47,0,859.452,1094.67
1119216900,1590.49,0,859.428,1091
1119217200,1589.69,0,859.387,1092
1119217500,1589,0,859.392,1093
1119217800,1588.28,0,859.451,1092
1119218100,1587.92,0,859.512,1093.33
1119218400,1587.67,0,859.535,1092.33
1119218700,1587.73,0,859.538,1099.67
1119219000,1587.73,0,859.55,1089
1119219300,1587.52,0,859.578,1083
1119219600,1587.08,0,859.623,1076
1119219900,1586.86,0,859.677,1081
1119220200,1587.02,0,859.722,1085.67
1119220500,1587.09,0,859.75,1089.67
1119220800,1586.86,0,859.758,1090
1119221100,1586.45,0,859.753,1096
1119221400,1586.07,0,859.757,1098.33
1119221700,1586.27,0,859.78,1100.67
1119222000,1586.26,0,859.823,1096.67
1119222300,1586.4,0,859.877,1095.33
1119222600,1585.68,0,859.928,1098
1119222900,1585.38,0,859.978,1102
1119223200,1585.29,0,860.022,1107.67
1119223500,1585.53,0,860.053,1109.33
1119223800,1585.75,0,860.062,1104.67
1119224100,1585.85,0,860.038,1097.33
1119224400,1585.78,0,860.005,1088.33
1119224700,1585.75,0,859.99,1088.67
1119225000,1585.49,0,859.975,1079
1119225300,1585.7,0,860.005,1094
1119052800,1608.02,0,870.112,1075.33
1119053100,1607.06,0,870.178,1067.67
