Date,ScalerCorr,pressure,activeSD
1118205000,0,858.698,0
1118206800,0,858.355,0
1118208600,0,858.092,0
1118210400,0,857.85,0
1118212200,0,857.541,0
1118214000,0,857.248,0
1118215800,0,857.147,0
1118217600,0,857.081,0
1118219400,0,856.895,0
1118221200,0,856.702,0
1118223000,0,856.787,0
1118224800,0,857.03,0
1118226600,0,857.257,0
1118228400,0,857.684,0
1118230200,0,858.009,0
1118232000,0,858.064,0
1118233800,0,858.138,0
1118235600,0,858.262,0
1118237400,0,858.329,0
1118239200,0,858.338,0
1118241000,0,858.098,0
1118242800,0,857.706,0
1118244600,0,857.537,0
1117497600,1642.42,860.628,1046.83
1117499400,1644.22,860.751,1047.83
1117501200,1643.17,860.149,1053.42
1117503000,1641.18,859.512,1059.5
1117504800,1640.97,859.413,1064.67
1117506600,1640.46,859.444,1065.58
1117508400,1639.51,859.417,1064.5
1117510200,1638.41,859.161,1062.83
1117512000,1637.65,858.751,1066.08
1117513800,1638.16,858.509,1070.25
1117515600,1637.99,858.23,1069.5
1117517400,1637.69,858.018,1069.92
1117519200,1636.91,857.807,1071.83
1117521000,1635.07,857.511,1071.42
1117522800,1634.2,857.268,1072.17
1117524600,1635.6,857.222,1073.08
1117526400,1637.53,857.224,1073.75
1117528200,1639.12,857.171,1075.75
1117530000,1640.13,857.13,1077.83
1117531800,1640.61,857.085,1078.17
1117533600,1641.88,857.128,1076.42
1117535400,1643.52,857.244,1076.17
1117537200,1645.09,857.235,1075.67
1117539000,1647.57,857.16,1076.75
1117540800,1651.18,857.135,1076.42
1117542600,1654.15,857.1,1071.92
1117544400,1656.84,857.115,1069.33
1117546200,1659,857.114,1067
1117548000,1659.72,856.885,1067.25
1117549800,1660.06,856.528,1067
1117551600,1660.48,856.192,1065.5
1117553400,1660.18,855.899,1063
1117555200,1658.42,855.616,1061.42
1117557000,1656.72,855.324,1059.08
1117558800,1654.26,855.088,1060.67
1117560600,1651,854.857,1064.33
1117562400,1648.28,854.645,1059.17
1117564200,1645.7,854.56,1054.92
1117566000,1643.35,854.557,1061.17
1117567800,1640.76,854.661,1064.33
1117569600,1638.27,854.818,1056.83
1117571400,1635.95,854.933,1050.5
1117573200,1634.55,855.058,1053.08
1117575000,1633.97,855.181,1058
1117576800,1634.43,855.364,1061.83
1117578600,1635.81,855.591,1066.92
1117580400,1637.06,855.836,1069.83
1118534400,1634.51,858.312,1040.83
1118536200,1634.2,858.744,1043
1118538000,1634.23,859.13,1050.58
1118539800,1634.86,859.35,1054.83
1118541600,1635.94,859.634,1055.75
1118543400,1637.22,860.091,1058.25
1118545200,1638.49,860.583,1065.5
1118547000,1639.86,861.02,1070.17
1118548800,1641.2,861.367,1067.83
1118550600,1642.33,861.698,1064.75
1118552400,1643.7,862.07,1070.42
1118554200,1644.84,862.376,1076.58
1118556000,1645.1,862.57,1079.17
1118557800,1644.43,862.666,1081.08
1118559600,1644.31,862.883,1076.17
1118561400,1645.39,863.179,1077
1118563200,1646.47,863.367,1083.92
1118565000,1647.15,863.627,1083.83
1118566800,1647.45,863.91,1082
1118568600,1647.89,864.314,1085.42
1118570400,1648.61,864.853,1086
1118572200,1649.93,865.278,1082.58
1118574000,1652.67,865.606,1082.42
1118575800,1656.75,865.956,1084.67
1118577600,1660.57,866.352,1083.75
1118579400,1662.36,866.636,1073.58
1118581200,1664.38,866.983,1064.17
1118583000,1667.17,867.439,1060.5
1118584800,1667.37,867.66,1058.5
1118586600,1665.31,867.55,1061.58
1118588400,1524.63,867.297,1068.33
1118590200,1523.3,867.079,1067.75
1118592000,1661.18,866.716,1064.83
1118593800,1660.57,866.261,1066.08
1118595600,1659.3,865.901,1069.33
1118597400,1657.49,865.6,1072.42
1118599200,1655.53,865.432,1070.92
1118601000,1653.21,865.439,1073
1118602800,1650.92,865.563,1077.67
1118604600,1648.39,865.755,1076.42
1118606400,1646.15,866.167,1075.42
1118608200,1643.71,866.737,1077.08
1118610000,1640.27,867.266,1070.42
1118611800,1638.33,867.749,1062.33
1118613600,1638.33,868.182,1062
1118615400,1639.02,868.647,1063.83
1118617200,1639.27,869.031,1069.33
1118880000,1639.92,864.86,1059.92
1118881800,1641.26,865.192,1052.83
1118883600,1642.97,865.574,1055.67
1118885400,1643.76,865.803,1059.42
1118887200,1643.98,865.842,1062.83
1118889000,1644.12,865.947,1065.33
1118890800,1506.26,865.94,1066.58
1118892600,1505.49,865.831,1068.5
1118894400,1642.47,865.808,1071.67
1118896200,1642.13,865.74,1075.92
1118898000,1642.29,865.67,1075.67
1118899800,1642.39,865.584,1072.42
1118901600,1642.29,865.549,1074.42
1118903400,1641.79,865.415,1086.25
1118905200,1640.99,865.081,1090.42
1118907000,1640.86,864.758,1087.25
1118908800,1640.84,864.431,1086.17
1118910600,1640.6,864.103,1084.92
1118912400,1640.64,863.93,1085.33
1118914200,1640.69,863.858,1083.42
1118916000,1641.13,863.882,1082.75
1118917800,1641.78,863.945,1083.58
1118919600,1641.81,863.994,1084
1118921400,1642.69,863.932,1085.08
1118923200,1646.27,863.849,1085.42
1118925000,1650.4,863.856,1081.58
1118926800,1653.66,863.749,1069.58
1118928600,1656.95,863.544,1062.58
1118930400,1659.5,863.22,1063.17
1118932200,1660.59,862.812,1057.58
1118934000,1660.73,862.423,1062
1118935800,1661.4,862.098,1073.83
1118937600,1661.12,861.795,1074.67
1118939400,1658.55,861.401,1078.92
1118941200,1655.89,860.96,1080.92
1118943000,1654.15,860.636,1081.83
1118944800,1651.98,860.464,1084.42
1118946600,1649.61,860.354,1085.33
1118948400,1647.23,860.312,1090.75
1118950200,1646.38,860.519,1091.25
1118952000,1645.43,860.813,1085.58
1118953800,1642.46,861.093,1083.08
1118955600,1639.85,861.391,1083.92
1118957400,1637.66,861.669,1084.58
1118959200,1637.05,862.166,1079.67
1118961000,1638.41,862.77,1079.58
1118962800,1640.49,863.244,1089.17
1118966400,1642.75,864.171,1055.42
1118968200,1642.55,864.599,1047.92
1118970000,1643.01,865.057,1049
1118971800,1642.88,865.375,1051.83
1118973600,1641.33,865.553,1055.42
1118975400,1639.24,865.795,1062.33
1118977200,1638.81,866.205,1067.92
1118979000,1638.73,866.46,1071
1118980800,1636.98,866.416,1070.67
