date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
58,2006.07.22 01:00:00,0.4,0.72,0.8,-2,-0.15,9,5.3,-3.0,331.0,-10.0
59,2006.07.23 19:00:00,0.6,1.02,1.12,56,-0.31,9,6.7,-5.5,364.0,-10.0
60,2006.07.27 13:53:00,1.0,0.82,1.53,14,-0.25,1,14.0,-8.5,663.0,-47.0
61,2006.07.29 18:00:00,0.3,1.13,0.84,0,-0.11,9,5.2,0.4,520.0,-22.0
62,2006.07.30 23:00:00,0.7,0.98,1.0,11,-0.36,9,14.3,-4.7,631.0,-24.0
63,2006.08.07 00:35:00,0.9,0.78,1.44,28,-0.38,1,18.1,-7.4,630.0,-44.0
64,2006.08.10 21:00:00,0.4,0.86,1.07,30,-0.17,9,5.7,-3.4,487.0,-13.0
65,2006.08.15 14:00:00,0.6,1.01,1.23,35,-0.28,9,5.3,-2.0,321.0,-1.0
66,2006.08.17 07:20:00,1.4,1.51,1.29,8,-0.31,1,8.7,-6.4,355.0,-17.0
67,2006.08.18 16:41:00,0.5,1.02,0.72,2,-0.17,3,12.0,-2.2,401.0,-9.0
68,2006.08.19 11:31:00,3.1,1.62,3.16,20,-0.6,3,20.0,-11.4,477.0,-71.0
69,2006.08.21 16:00:00,0.9,1.41,1.72,6,-0.23,9,8.9,-5.7,507.0,-42.0
70,2006.08.27 02:00:00,0.4,0.95,0.41,6,-0.11,9,6.5,-3.8,342.0,1.0
71,2006.08.27 12:00:00,1.1,1.15,0.9,59,-0.23,9,18.7,-10.7,664.0,-42.0
72,2006.08.30 02:00:00,1.4,1.07,1.36,25,-0.25,9,9.8,-7.0,555.0,-34.0
73,2006.09.02 09:00:00,0.5,1.07,1.38,24,-0.19,9,7.3,-3.0,497.0,-36.0
74,2006.09.04 00:20:00,0.9,1.25,1.52,4,-0.28,1,14.2,-5.1,621.0,-41.0
75,2006.09.10 06:00:00,0.5,0.89,0.85,4,-0.17,9,10.8,-6.6,419.0,-16.0
76,2006.09.13 06:00:00,0.6,1.1,1.64,66,-0.18,9,7.3,-4.4,494.0,-16.0
77,2006.09.16 13:00:00,1.2,1.07,1.51,43,-0.18,9,10.4,-6.7,639.0,-35.0
78,2006.09.23 09:00:00,1.4,1.24,0.8,21,-0.37,9,18.3,-7.5,671.0,-56.0
79,2006.09.30 03:00:00,1.0,1.25,0.89,9,-0.3,9,18.0,-5.6,439.0,-18.0
80,2006.09.30 23:00:00,1.1,0.87,0.91,0,-0.64,9,12.3,-5.9,571.0,-48.0
81,2006.10.05 13:00:00,0.4,0.89,0.81,13,-0.21,9,4.2,-2.7,340.0,-14.0
82,2006.10.07 12:00:00,0.7,1.28,1.11,39,-0.15,3,11.6,-4.2,535.0,-20.0
83,2006.10.11 06:00:00,0.3,0.61,0.8,-2,-0.14,9,6.3,-2.6,364.0,-3.0
84,2006.10.12 23:00:00,1.1,0.65,0.91,26,-0.18,9,11.8,-8.6,596.0,-49.0
85,2006.10.18 04:00:00,0.3,0.73,1.32,3,-0.11,9,3.5,-1.2,353.0,-15.0
86,2006.10.19 05:00:00,0.3,0.5,0.4,9,-0.16,9,5.3,-0.5,324.0,-2.0
87,2006.10.20 02:00:00,1.2,1.09,1.0,50,-0.24,9,17.1,-10.2,646.0,-24.0
88,2006.10.24 23:00:00,0.4,0.75,0.91,7,-0.14,9,5.7,-3.9,487.0,-13.0
89,2006.10.26 11:00:00,0.5,1.07,0.61,25,-0.18,9,4.3,-2.8,413.0,-7.0
90,2006.10.27 03:00:00,0.3,0.98,0.44,9,-0.18,9,6.4,-1.9,364.0,0.0
91,2006.10.28 00:00:00,0.8,0.94,0.85,45,-0.17,9,12.0,-4.1,585.0,-46.0
