Date,ScalerCorr,error,pressure,activeSD
1119178200,3208.48,0,1724.6,2230.33
1119178500,3208.35,0,1724.58,2226
1119178800,3208.2,0,1724.57,2223
1119179100,3208.49,0,1724.56,2221
1119179400,3208.7,0,1724.56,2218
1119179700,3208.64,0,1724.55,2214.33
1119180000,3208.55,0,1724.53,2211
1119180300,3208.44,0,1724.51,2217
1119180600,3208.65,0,1724.5,2216
1119180900,3208.89,0,1724.5,2219.33
1119181200,3209.28,0,1724.5,2224
1119181500,3210.13,0,1724.51,2222
1119181800,3211.41,0,1724.53,2221
1119182100,3213.03,0,1724.56,2218
1119182400,3214.28,0,1724.59,2218.33
1119182700,3215.66,0,1724.62,2217.67
1119183000,3217.01,0,1724.66,2208.33
1119183300,3218.26,0,1724.69,2208.33
1119183600,3219.82,0,1724.7,2211.33
1119183900,3221.23,0,1724.7,2210.67
1119184200,3223.09,0,1724.71,2207.67
1119184500,3224.82,0,1724.7,2205.33
1119184800,3226.66,0,1724.64,2211.33
1119185100,3228.58,0,1724.58,2210
1119185400,3230.29,0,1724.55,2202.33
1119185700,3232.39,0,1724.52,2195.67
1119186000,3234.56,0,1724.46,2193.67
1119186300,3236.83,0,1724.41,2186.67
1119186600,3239.1,0,1724.42,2180.33
1119186900,3241.18,0,1724.44,2173
1119187200,3242.73,0,1724.45,2171.67
1119187500,3243.91,0,1724.46,2174.67
1119187800,3244.88,0,1724.52,2177.33
1119188100,3245.79,0,1724.57,2179.67
1119188400,3246.21,0,1724.56,2179
1119188700,3246.84,0,1724.54,2183.67
1119189000,3248.1,0,1724.54,2183.67
1119189300,3249.38,0,1724.55,2181
1119189600,3250.45,0,1724.53,2173.67
1119189900,3251.37,0,1724.5,2168.67
1119190200,3252.21,0,1724.48,2168
1119190500,3253.51,0,1724.45,2163
1119190800,3254.37,0,1724.42,2160.33
1119191100,3254.92,0,1724.37,2162
1119191400,3255.64,0,1724.29,2168.33
1119191700,3256.24,0,1724.2,2173.67
1119192000,3256.07,0,1724.13,2175
1119192300,3255.7,0,1724.07,2175.67
1119192600,3255.42,0,1724.01,2177
1119192900,3255.1,0,1723.93,2167.67
1119193200,3254.46,0,1723.82,2163
1119193500,3254.21,0,1723.72,2161.33
1119193800,3255.1,0,1723.66,2156.33
1119194100,3255.84,0,1723.61,2154.67
1119194400,2713.33,0,1723.52,2152.33
1119194700,2713.49,0,1723.43,2157.67
1119195000,2713.8,0,1723.36,2156
1119195300,2713.75,0,1723.27,2158.33
1119195600,2713.85,0,1723.13,2158.67
1119195900,2713,0,1722.96,2162.67
1119196200,3255.15,0,1722.76,2160.67
1119196500,3254.08,0,1722.54,2155.33
1119196800,3252.67,0,1722.29,2153
1119197100,3251.53,0,1722.02,2151.33
1119197400,3249.89,0,1721.74,2153.67
1119197700,3248.75,0,1721.48,2149.67
1119198000,3247.88,0,1721.24,2155.67
1119198300,3247.52,0,1721.05,2168
1119198600,3247.05,0,1720.9,2178
1119198900,3246.75,0,1720.79,2177
1119199200,3246.44,0,1720.69,2181.33
1119199500,3245.97,0,1720.58,2189.67
1119199800,3245.21,0,1720.41,2190.67
1119200100,3244.38,0,1720.22,2185.67
1119200400,3244.04,0,1720.03,2182.33
1119200700,3242.68,0,1719.84,2186
1119201000,3241.32,0,1719.64,2183.33
1119201300,3240.14,0,1719.47,2178
1119201600,3239.14,0,1719.37,2177
1119201900,3237.82,0,1719.27,2184.67
1119202200,3236.28,0,1719.12,2186.67
1119202500,3235.11,0,1718.96,2186
1119202800,3234.16,0,1718.85,2194.67
1119203100,3233.13,0,1718.77,2200.67
1119203400,3231.82,0,1718.69,2206.67
1119203700,3230.61,0,1718.64,2203.33
1119204000,3229.24,0,1718.62,2203.67
1119204300,3227.92,0,1718.61,2205.33
1119204600,3226.84,0,1718.57,2196.67
1119204900,3225.59,0,1718.51,2195.33
1119205200,3223.99,0,1718.41,2190.33
1119205500,3222.25,0,1718.28,2186
1119205800,3220.53,0,1718.16,2188.33
1119206100,3219.28,0,1718.05,2189.67
1119206400,3217.83,0,1717.96,2197
1119206700,3216.5,0,1717.89,2196
1119207000,3215.54,0,1717.84,2196
1119207300,3214.55,0,1717.81,2200.33
1119207600,3213.88,0,1717.8,2200
1119207900,3213.15,0,1717.8,2200
1119208200,3212.27,0,1717.79,2193.33
1119208500,3211.07,0,1717.78,2196.67
1119208800,3209.86,0,1717.78,2198
1119209100,3209.06,0,1717.78,2200
1119209400,3208.31,0,1717.78,2200.33
1119209700,3207.11,0,1717.75,2196.33
1119210000,3205.79,0,1717.68,2199.33
1119210300,3204.43,0,1717.61,2201
1119210600,3203.64,0,1717.59,2204
1119210900,3202.82,0,1717.61,2206.33
1119211200,3202.17,0,1717.67,2210
1119211500,3201.54,0,1717.76,2217.67
1119211800,3200.81,0,1717.86,2219
1119212100,3200.07,0,1717.97,2215
1119212400,3199.35,0,1718.09,2215.67
1119212700,3198.43,0,1718.2,2208.33
1119213000,3196.83,0,1718.27,2204.67
1119213300,3195.58,0,1718.33,2201
1119213600,3194.33,0,1718.44,2198
1119213900,3193.06,0,1718.55,2198.33
1119214200,3191.7,0,1718.6,2192
1119214500,3190.22,0,1718.62,2190.33
1119214800,3188.91,0,1718.66,2184.67
1119215100,3187.61,0,1718.71,2183
1119215400,3186.24,0,1718.75,2183.67
1119215700,3184.98,0,1718.78,2182
1119216000,3183.33,0,1718.8,2180.33
1119216300,3181.82,0,1718.81,2185.33
1119216600,3180.47,0,1718.84,2187.67
1119216900,3178.77,0,1718.88,2183
1119217200,3177.62,0,1718.9,2185.33
1119217500,3176.67,0,1718.93,2185.33
1119217800,3176.02,0,1718.99,2191.67
1119218100,3175.66,0,1719.06,2182.33
1119218400,3175.19,0,1719.11,2175.33
1119218700,3174.81,0,1719.16,2175.67
1119219000,3174.59,0,1719.23,2170
1119219300,3174.53,0,1719.3,2168.67
1119219600,3174.17,0,1719.37,2165.67
1119219900,3173.72,0,1719.43,2171
