Date,ScalerCorr,error,pressure,activeSD
1012996800,1659.16,0,863.26,784
1012997100,1659.08,0,863.243,789.333
1012997400,1658.82,0,863.227,789.333
1012997700,1659.03,0,863.227,788.667
1012998000,1659.59,0,863.222,784.667
1012998300,1665.25,0,863.195,785.667
1012998600,1665.36,0,863.152,786.667
1012998900,1665.16,0,863.12,788.667
1012999200,1660.23,0,863.09,785.667
1012999500,1660.3,0,863.05,788
1012999800,1660.66,0,863.01,785
1013000100,1660.7,0,862.95,784.333
1013000400,1660.81,0,862.87,779.667
1013000700,1660.45,0,862.779,779
1013001000,1659.79,0,862.705,781.667
1013001300,1659.19,0,862.652,783
1013001600,1658.99,0,862.6,783.333
1013001900,1659.22,0,862.54,781.333
1013002200,1659.63,0,862.47,781.667
1013002500,1659.99,0,862.41,779.333
1013002800,1660.53,0,862.36,777
1013003100,1660.39,0,862.3,772.333
1013003400,1660.38,0,862.24,776.667
1013003700,1660.16,0,862.188,782.667
1013004000,1660.24,0,862.145,788
1013004300,1659.85,0,862.112,790.333
1013004600,1659.62,0,862.075,789.333
1013004900,1659.99,0,862.04,788
1013005200,1660.33,0,861.985,782.667
1013005500,1660.3,0,861.925,782.667
1013005800,1659.96,0,861.88,783.667
1013006100,1660.25,0,861.835,782.667
1013006400,1660.2,0,861.78,783.333
1013006700,1659.68,0,861.698,784.667
1013007000,1659.03,0,861.605,788.333
1013007300,1658.28,0,861.507,785.667
1013007600,1657.79,0,861.41,782.667
1013007900,1657.38,0,861.325,782.667
1013008200,1657.13,0,861.245,787.333
1013008500,1656.98,0,861.18,788.333
1013008800,1656.47,0,861.113,786
1013009100,1656.23,0,861.055,783.667
1013009400,1656.18,0,860.99,785.667
1013009700,1655.8,0,860.912,785.667
1013010000,1655.53,0,860.83,781.333
1013010300,1655.11,0,860.753,781.333
1013010600,1655.21,0,860.702,785.667
1013010900,1655.51,0,860.65,791
1013011200,1655.52,0,860.595,790.333
1013011500,1655.56,0,860.545,790.333
1013011800,1655.85,0,860.502,788.667
1013012100,1656.29,0,860.457,788.667
1013012400,1656.2,0,860.397,787.667
1013012700,1655.29,0,860.322,791
1013013000,1654.43,0,860.237,793.333
1013013300,1654.17,0,860.16,792.333
1013013600,1654.19,0,860.105,787.333
1013013900,1654.2,0,860.052,785.333
1013014200,1653.82,0,859.98,784.333
1013014500,1653.66,0,859.893,788
1013014800,1653.3,0,859.805,789
1013015100,1652.89,0,859.727,787
1013015400,1652.71,0,859.645,785
1013015700,1652.62,0,859.56,782.333
1013016000,1652.71,0,859.475,786.667
1013016300,1652.25,0,859.393,789
1013016600,1651.98,0,859.315,791
1013016900,1651.81,0,859.222,791
1013017200,1651.92,0,859.125,789
1013017500,1651.94,0,859.03,792
1013017800,1651.82,0,858.94,793.667
1013018100,1651.52,0,858.865,794
1013018400,1651.31,0,858.789,792
1013018700,1650.74,0,858.7,792
1013019000,1650.46,0,858.587,791.333
1013019300,1650.1,0,858.47,790
1013019600,1650.31,0,858.38,786.333
1013019900,1650.17,0,858.31,788.333
1013020200,1649.8,0,858.258,789.667
1013020500,1649.84,0,858.21,790.333
1013020800,1650.05,0,858.172,790
1013021100,1650.66,0,858.14,792
1013021400,1650.54,0,858.09,795.667
1013021700,1650.12,0,858.03,799.333
1013022000,1649.77,0,857.97,798
1013022300,1649.41,0,857.91,797.333
1013022600,1649.19,0,857.85,795.333
1013022900,1649.15,0,857.79,797
1013023200,1649.05,0,857.74,796.333
1013023500,1648.94,0,857.678,794.333
1013023800,1648.34,0,857.61,793
1013024100,1647.98,0,857.562,793.667
1013024400,1647.65,0,857.53,797
1013024700,1647.82,0,857.505,799.667
1013025000,1648.06,0,857.47,799.333
1013025300,1648.49,0,857.435,798
1013025600,1648.35,0,857.395,796
1013025900,1648.36,0,857.36,794.333
1013026200,1648.12,0,857.335,794.667
1013026500,1647.68,0,857.305,794.333
1013026800,1647.25,0,857.27,795
1013027100,1647.06,0,857.23,793
1013027400,1647.13,0,857.2,791.667
1013027700,1647.29,0,857.17,789.333
1013028000,1647.17,0,857.13,788.667
1013028300,1646.98,0,857.09,791
1013028600,1646.36,0,857.048,794.333
1013028900,1646.15,0,857.005,795.667
1013029200,1645.84,0,856.967,791.667
1013029500,1646.03,0,856.945,793.333
1013029800,1650.71,0,856.94,795.667
1013030100,1650.99,0,856.935,799.667
1013030400,1650.93,0,856.925,795.667
1013030700,1646.19,0,856.925,793.667
1013031000,1646.37,0,856.93,792.333
1013031300,1646.36,0,856.93,792.333
1013031600,1646.23,0,856.925,793.667
1013031900,1645.85,0,856.92,797.333
1013032200,1645.67,0,856.92,796.667
1013032500,1645.27,0,856.92,794.333
1013032800,1644.99,0,856.92,785.667
1013033100,1644.8,0,856.932,788.333
1013033400,1644.84,0,856.96,784.667
1013033700,1645.07,0,856.998,789
1013034000,1645.36,0,857.04,789
1013034300,1645.25,0,857.075,794.667
1013034600,1644.82,0,857.11,794.333
1013034900,1644.16,0,857.15,791.667
1013035200,1644.18,0,857.2,789.333
1013035500,1644.35,0,857.25,789.333
1013035800,1644.62,0,857.29,789.667
1013036100,1644.76,0,857.325,794.333
1013036400,1644.71,0,857.37,793.333
1013036700,1644.51,0,857.42,795
1013037000,1644.28,0,857.47,790
1013037300,1644.01,0,857.52,790
1013037600,1643.96,0,857.572,789
1013037900,1644.05,0,857.608,788.667
1013038200,1644.3,0,857.635,790.333
1013038500,1644.29,0,857.682,792
1013038800,1644.03,0,857.748,793
1013039100,1644.28,0,857.827,791.667
1013039400,1643.71,0,857.825,791
1013039700,1645.17,0,857.89,789
1013126400,1653.23,0,861.48,733
1013126700,1652.74,0,861.535,721
